source_column,opaque_cell_id,source_cell_id
121383,cell_01868,cell_121383
121447,cell_01869,cell_121447
121492,cell_01870,cell_121492
121567,cell_01871,cell_121567
121627,cell_01872,cell_121627
121709,cell_01873,cell_121709
121742,cell_01874,cell_121742
121749,cell_01875,cell_121749
121808,cell_01876,cell_121808
121815,cell_01877,cell_121815
121850,cell_01878,cell_121850
122106,cell_01879,cell_122106
122204,cell_01880,cell_122204
122325,cell_01881,cell_122325
122367,cell_01882,cell_122367
122408,cell_01883,cell_122408
122415,cell_01884,cell_122415
122461,cell_01885,cell_122461
122466,cell_01886,cell_122466
122505,cell_01887,cell_122505
122515,cell_01888,cell_122515
122557,cell_01889,cell_122557
122610,cell_01890,cell_122610
123064,cell_01891,cell_123064
123148,cell_01892,cell_123148
123225,cell_01893,cell_123225
123309,cell_01894,cell_123309
123371,cell_01895,cell_123371
123393,cell_01896,cell_123393
123537,cell_01897,cell_123537
123577,cell_01898,cell_123577
123653,cell_01899,cell_123653
123726,cell_01900,cell_123726
123776,cell_01901,cell_123776
123810,cell_01902,cell_123810
123888,cell_01903,cell_123888
124198,cell_01904,cell_124198
124432,cell_01905,cell_124432
124455,cell_01906,cell_124455
124460,cell_01907,cell_124460
124552,cell_01908,cell_124552
124568,cell_01909,cell_124568
124628,cell_01910,cell_124628
124675,cell_01911,cell_124675
124814,cell_01912,cell_124814
125003,cell_01913,cell_125003
125041,cell_01914,cell_125041
125369,cell_01915,cell_125369
125381,cell_01916,cell_125381
125400,cell_01917,cell_125400
125490,cell_01918,cell_125490
125530,cell_01919,cell_125530
125684,cell_01920,cell_125684
125758,cell_01921,cell_125758
125946,cell_01922,cell_125946
125949,cell_01923,cell_125949
126061,cell_01924,cell_126061
126346,cell_01925,cell_126346
126388,cell_01926,cell_126388
126450,cell_01927,cell_126450
126480,cell_01928,cell_126480
126699,cell_01929,cell_126699
126782,cell_01930,cell_126782
127017,cell_01931,cell_127017
127044,cell_01932,cell_127044
127320,cell_01933,cell_127320
127343,cell_01934,cell_127343
127403,cell_01935,cell_127403
127472,cell_01936,cell_127472
127529,cell_01937,cell_127529
127622,cell_01938,cell_127622
127648,cell_01939,cell_127648
127733,cell_01940,cell_127733
127761,cell_01941,cell_127761
127778,cell_01942,cell_127778
127930,cell_01943,cell_127930
128425,cell_01944,cell_128425
128432,cell_01945,cell_128432
128436,cell_01946,cell_128436
128598,cell_01947,cell_128598
128824,cell_01948,cell_128824
129225,cell_01949,cell_129225
129304,cell_01950,cell_129304
129330,cell_01951,cell_129330
129333,cell_01952,cell_129333
129359,cell_01953,cell_129359
129445,cell_01954,cell_129445
129599,cell_01955,cell_129599
129615,cell_01956,cell_129615
129774,cell_01957,cell_129774
129797,cell_01958,cell_129797
129827,cell_01959,cell_129827
130044,cell_01960,cell_130044
130071,cell_01961,cell_130071
130137,cell_01962,cell_130137
130210,cell_01963,cell_130210
130368,cell_01964,cell_130368
130371,cell_01965,cell_130371
130397,cell_01966,cell_130397
130422,cell_01967,cell_130422
130444,cell_01968,cell_130444
130566,cell_01969,cell_130566
130623,cell_01970,cell_130623
130629,cell_01971,cell_130629
130644,cell_01972,cell_130644
130699,cell_01973,cell_130699
130739,cell_01974,cell_130739
130819,cell_01975,cell_130819
130825,cell_01976,cell_130825
130875,cell_01977,cell_130875
130947,cell_01978,cell_130947
130986,cell_01979,cell_130986
131169,cell_01980,cell_131169
131396,cell_01981,cell_131396
131472,cell_01982,cell_131472
131699,cell_01983,cell_131699
131741,cell_01984,cell_131741
131883,cell_01985,cell_131883
132009,cell_01986,cell_132009
132010,cell_01987,cell_132010
132014,cell_01988,cell_132014
132086,cell_01989,cell_132086
132087,cell_01990,cell_132087
132193,cell_01991,cell_132193
132316,cell_01992,cell_132316
132588,cell_01993,cell_132588
132819,cell_01994,cell_132819
133049,cell_01995,cell_133049
133324,cell_01996,cell_133324
133460,cell_01997,cell_133460
133839,cell_01998,cell_133839
133889,cell_01999,cell_133889
133925,cell_02000,cell_133925
133956,cell_02001,cell_133956
134009,cell_02002,cell_134009
134081,cell_02003,cell_134081
134085,cell_02004,cell_134085
134263,cell_02005,cell_134263
134283,cell_02006,cell_134283
134364,cell_02007,cell_134364
134566,cell_02008,cell_134566
134666,cell_02009,cell_134666
134852,cell_02010,cell_134852
135120,cell_02011,cell_135120
135185,cell_02012,cell_135185
135210,cell_02013,cell_135210
135261,cell_02014,cell_135261
135342,cell_02015,cell_135342
135438,cell_02016,cell_135438
135754,cell_02017,cell_135754
135764,cell_02018,cell_135764
135822,cell_02019,cell_135822
136026,cell_02020,cell_136026
136028,cell_02021,cell_136028
136310,cell_02022,cell_136310
136375,cell_02023,cell_136375
136407,cell_02024,cell_136407
136777,cell_02025,cell_136777
136783,cell_02026,cell_136783
136910,cell_02027,cell_136910
137053,cell_02028,cell_137053
137287,cell_02029,cell_137287
137343,cell_02030,cell_137343
137360,cell_02031,cell_137360
137497,cell_02032,cell_137497
137521,cell_02033,cell_137521
137551,cell_02034,cell_137551
137612,cell_02035,cell_137612
137847,cell_02036,cell_137847
137850,cell_02037,cell_137850
138050,cell_02038,cell_138050
138108,cell_02039,cell_138108
138116,cell_02040,cell_138116
138425,cell_02041,cell_138425
138499,cell_02042,cell_138499
138697,cell_02043,cell_138697
138731,cell_02044,cell_138731
138775,cell_02045,cell_138775
138817,cell_02046,cell_138817
138836,cell_02047,cell_138836
139106,cell_02048,cell_139106
