ID,Age_weeks,Date,Time_assayed,Time_assayed_fraction,Time_assayed_hours,Weight,GS1,GS2,GS3,GS4,GS5,Max_GS,Species,Sex,Diet,Eclosion_weight,FW_length,Longevity
DL78,1,2022-09-26,12:17:00,0.5118,12.28,0.22,2.112,1.513,2.902,1.305,2.522,2.902,Dryas,M,PD,0.206,43,20
HL87,7,2022-09-26,12:17:00,0.5118,12.28,0.144,0.142,0.536,0.681,0.476,1.03,1.03,Hecale,M,PF,0.13,36,64
HL86,7,2022-09-26,12:17:00,0.5118,12.28,0.211,1.337,2.748,2.504,1.927,2.459,2.748,Hecale,M,PF,0.228,45,83
DL56,3,2022-09-26,12:17:00,0.5118,12.28,0.103,0.592,0.71,1.004,1.141,0.559,1.141,Dryas,M,PD,0.156,40,24
HL95,1,2022-09-26,12:17:00,0.5118,12.28,0.113,0.664,1.051,0.616,0.637,1.441,1.441,Hecale,F,PF,0.113,34,22
DL57,3,2022-09-26,12:17:00,0.5118,12.28,0.086,0.503,0.286,0.368,1.277,0.686,1.277,Dryas,F,PD,0.102,33,24
HL93,7,2022-09-28,12:35:00,0.5243,12.58,0.187,2.179,0.442,1.236,0.924,1.305,2.179,Hecale,F,PD,0.215,42,59
DL76,1,2022-09-28,12:35:00,0.5243,12.58,0.087,0.722,0.862,0.891,0.61,0.738,0.891,Dryas,M,PD,0.101,35,17
DL74,1,2022-09-28,12:35:00,0.5243,12.58,0.078,0.636,0.1,0.157,0.47,0.403,0.636,Dryas,M,PF,0.095,30,10
DL75,1,2022-09-28,12:35:00,0.5243,12.58,0.108,0.907,0.283,0.451,0.265,0.507,0.907,Dryas,M,PD,0.123,36,35
DL58,3,2022-09-28,12:35:00,0.5243,12.58,0.116,2.003,0.655,1.039,0.803,1.51,2.003,Dryas,M,PF,0.177,41,27
DL73,1,2022-09-28,12:35:00,0.5243,12.58,0.171,0.385,0.632,1.078,1.119,1.112,1.119,Dryas,F,PF,0.136,37,37
HL91,7,2022-09-28,12:35:00,0.5243,12.58,0.158,1.68,1.721,1.008,1.034,2.03,2.03,Hecale,M,PD,0.227,45,69
DL77,1,2022-09-30,12:12:00,0.5083,12.2,0.177,0.469,1.066,0.929,1.167,1.074,1.167,Dryas,M,PF,0.198,44,8
DL86,1,2022-09-30,12:12:00,0.5083,12.2,0.153,1.12,1.079,0.626,0.876,2.187,2.187,Dryas,M,PD,0.196,42,16
DL84,1,2022-09-30,12:12:00,0.5083,12.2,0.142,1.04,0.4,0.374,0.27,1.142,1.142,Dryas,M,PF,0.14,39,42
HL79,11,2022-09-30,12:12:00,0.5083,12.2,0.218,1.067,1.252,1.078,1.039,1.038,1.252,Hecale,F,PF,0.224,44,115
DL85,1,2022-09-30,12:12:00,0.5083,12.2,0.139,0.783,1.552,1.366,0.924,0.871,1.552,Dryas,M,PD,0.165,40,33
DL81,1,2022-09-30,12:12:00,0.5083,12.2,0.11,0.789,0.699,0.678,0.683,0.719,0.789,Dryas,M,PD,0.125,38,16
DL80,1,2022-09-30,12:12:00,0.5083,12.2,0.157,0.763,0.411,0.655,1.125,1.364,1.364,Dryas,M,PF,0.195,42,34
DL79,1,2022-09-30,12:12:00,0.5083,12.2,0.2,0.93,1.12,1.28,0.646,1.218,1.28,Dryas,F,PD,0.18,40,15
HL99,1,2022-10-03,10:36:00,0.4417,10.6,0.123,1.216,1.234,1.076,1.309,1.2,1.309,Hecale,M,PF,0.131,38,44
DL61,3,2022-10-03,10:36:00,0.4417,10.6,0.147,1.026,1.861,0.729,1.544,1.15,1.861,Dryas,M,PD,0.19,41,42
DL88,1,2022-10-03,10:36:00,0.4417,10.6,0.158,0.72,1.137,1.43,1.099,0.825,1.43,Dryas,M,PD,0.183,42,11
DL60,3,2022-10-03,10:36:00,0.4417,10.6,0.161,0.684,1.702,0.577,0.96,1.418,1.702,Dryas,M,PF,0.202,43,27
DL92,1,2022-10-05,11:51:00,0.4938,11.85,0.339,0.551,1.113,1.308,2.392,2.128,2.392,Dryas,F,PD,0.299,44,11
DL63,3,2022-10-05,11:51:00,0.4938,11.85,0.076,0.74,0.458,0.663,0.381,0.35,0.74,Dryas,F,PD,0.139,37,27
DL91,1,2022-10-05,11:51:00,0.4938,11.85,0.124,0.959,1.019,2.027,1.149,2.001,2.027,Dryas,M,PD,0.134,39,36
DL89,1,2022-10-05,11:51:00,0.4938,11.85,0.137,0.957,0.706,0.979,0.913,0.915,0.979,Dryas,F,PF,0.141,39,32
DL90,1,2022-10-05,11:51:00,0.4938,11.85,0.131,1.518,1.103,1.108,0.909,1.051,1.518,Dryas,M,PF,0.135,40,32
DL69,3,2022-10-05,11:51:00,0.4938,11.85,0.125,0.652,0.878,1.203,1.879,1.344,1.879,Dryas,M,PF,0.16,39,21
DL50,5,2022-10-05,11:51:00,0.4938,11.85,0.203,0.348,1.146,1.027,1.184,1.692,1.692,Dryas,M,PD,0.287,47,38
DL96,1,2022-10-07,12:17:00,0.5118,12.28,0.225,0.84,1.117,0.985,1.488,1.658,1.658,Dryas,F,PD,0.175,39,21
DL94,1,2022-10-07,12:17:00,0.5118,12.28,0.148,1.737,2.802,1.8,2.162,1.363,2.802,Dryas,M,PD,0.183,41,23
DL93,1,2022-10-07,12:17:00,0.5118,12.28,0.112,0.446,0.541,1.242,1.642,1.034,1.642,Dryas,M,PF,0.123,38,20
DL65,3,2022-10-07,12:17:00,0.5118,12.28,0.159,0.5,1.184,1.195,1.271,0.965,1.271,Dryas,F,PD,0.132,37,22
DL66,3,2022-10-07,12:17:00,0.5118,12.28,0.137,1.028,1.662,1.008,1.285,1.133,1.662,Dryas,M,PD,0.164,46,21
DL95,1,2022-10-07,12:17:00,0.5118,12.28,0.213,0.702,0.327,0.521,0.995,0.359,0.995,Dryas,F,PF,0.163,38,9
HL96,3,2022-10-10,11:49:00,0.4924,11.82,0.116,0.817,2.5,2.636,1.205,0.98,2.636,Hecale,M,PF,0.156,38,48
DL97,1,2022-10-10,11:49:00,0.4924,11.82,0.186,1.184,1.04,0.88,0.847,0.833,1.184,Dryas,F,PF,0.183,40,24
HL97,3,2022-10-10,11:49:00,0.4924,11.82,0.128,1.608,1.237,1.175,1.331,1.051,1.608,Hecale,M,PF,0.146,39,51
DL72,3,2022-10-10,11:49:00,0.4924,11.82,0.114,1.628,1.324,1.479,2.161,1.865,2.161,Dryas,M,PF,0.172,40,41
DL99,1,2022-10-10,11:49:00,0.4924,11.82,0.163,1.023,1.293,1.125,0.859,0.929,1.293,Dryas,M,PF,0.203,43,34
HL86,9,2022-10-10,11:49:00,0.4924,11.82,0.183,1.987,1.394,1.141,1.451,1.755,1.987,Hecale,M,PF,0.228,45,83
HL87,9,2022-10-10,11:49:00,0.4924,11.82,0.12,1.148,1.247,1.274,1.392,1.336,1.392,Hecale,M,PF,0.13,36,64
DL75,3,2022-10-12,12:04:00,0.5028,12.07,0.1,0.538,0.339,0.396,0.532,0.679,0.679,Dryas,M,PD,0.123,36,35
DL100,1,2022-10-12,12:04:00,0.5028,12.07,0.191,1.023,0.829,1.738,1.417,1.65,1.738,Dryas,F,PF,0.249,43,34
HL91,9,2022-10-12,12:04:00,0.5028,12.07,0.143,1.065,0.688,1.546,1.035,0.931,1.546,Hecale,M,PD,0.227,45,69
DL101,1,2022-10-12,12:04:00,0.5028,12.07,0.242,2.064,0.953,1.032,1.002,0.951,2.064,Dryas,F,PD,0.25,40,31
DL73,3,2022-10-12,12:04:00,0.5028,12.07,0.134,0.619,0.948,1.596,1.109,1.048,1.596,Dryas,F,PF,0.136,37,37
DL84,3,2022-10-14,11:32:00,0.4806,11.53,0.119,1.429,1.34,1.232,0.876,0.95,1.429,Dryas,M,PF,0.14,39,42
DL85,3,2022-10-14,11:32:00,0.4806,11.53,0.113,0.762,1.016,0.969,0.489,0.723,1.016,Dryas,M,PD,0.165,40,33
HL79,13,2022-10-14,11:32:00,0.4806,11.53,0.222,2.335,1.586,1.625,2.468,2.394,2.468,Hecale,F,PF,0.224,44,115
DL80,3,2022-10-14,11:32:00,0.4806,11.53,0.138,1.17,1.21,1.626,1.415,1.359,1.626,Dryas,M,PF,0.195,42,34
HL99,3,2022-10-17,11:20:00,0.4722,11.33,0.146,0.502,0.719,1.014,1.208,1.295,1.295,Hecale,M,PF,0.131,38,44
DL61,5,2022-10-17,11:20:00,0.4722,11.33,0.148,1.022,1.134,1.269,1.147,1.199,1.269,Dryas,M,PD,0.19,41,42
HL100,1,2022-10-17,11:20:00,0.4722,11.33,0.108,0.706,0.692,0.968,0.502,0.508,0.968,Hecale,M,PD,0.108,37,29
HL101,1,2022-10-17,11:20:00,0.4722,11.33,0.204,2.354,1.774,1.217,2.304,1.595,2.354,Hecale,M,PF,0.217,44,36
DL70T,3,2022-10-19,12:50:00,0.5347,12.83,0.113,0.415,0.642,0.24,0.249,0.578,0.642,Dryas,M,PD,0.151,39,30
DL102,1,2022-10-19,12:50:00,0.5347,12.83,0.21,0.587,0.673,0.886,0.3,0.202,0.886,Dryas,M,PF,0.201,44,29
DL91,3,2022-10-19,12:50:00,0.5347,12.83,0.107,0.161,0.261,0.382,0.389,0.109,0.389,Dryas,M,PD,0.134,39,36
DL89,3,2022-10-19,12:50:00,0.5347,12.83,0.114,0.483,0.503,0.301,0.443,0.269,0.503,Dryas,F,PF,0.141,39,32
DL67T,3,2022-10-19,12:50:00,0.5347,12.83,0.145,0.263,0.277,0.252,0.195,0.393,0.393,Dryas,M,PF,0.189,42,41
DL90,3,2022-10-19,12:50:00,0.5347,12.83,0.112,0.759,0.793,0.836,0.478,1.163,1.163,Dryas,M,PF,0.135,40,32
DL73T,3,2022-10-21,11:28:00,0.4778,11.47,0.137,0.81,0.902,0.978,0.749,1.04,1.04,Dryas,M,PD,0.183,41,37
DL77T,3,2022-10-21,11:28:00,0.4778,11.47,0.112,0.572,1.169,0.928,0.906,0.986,1.169,Dryas,M,PD,0.14,39,34
DL94,3,2022-10-21,11:28:00,0.4778,11.47,0.139,0.53,0.729,1.155,1.388,1.35,1.388,Dryas,M,PD,0.183,41,23
DL78T,3,2022-10-21,11:28:00,0.4778,11.47,0.156,0.99,0.338,0.642,0.67,0.917,0.99,Dryas,M,PD,0.193,42,25
DL76T,3,2022-10-21,11:28:00,0.4778,11.47,0.126,0.206,0.656,0.784,0.547,0.325,0.784,Dryas,M,PD,0.161,42,34
DL103,1,2022-10-21,11:28:00,0.4778,11.47,0.097,1.144,0.871,0.929,0.737,0.826,1.144,Dryas,M,PF,0.108,37,10
DL104,1,2022-10-21,11:28:00,0.4778,11.47,0.172,0.589,0.555,0.215,0.162,0.557,0.589,Dryas,M,PF,0.181,43,13
DL105,1,2022-10-21,11:28:00,0.4778,11.47,0.128,1.098,0.744,1.167,0.918,0.965,1.167,Dryas,M,PD,0.125,40,25
DL96,3,2022-10-21,11:28:00,0.4778,11.47,0.151,1.347,1.362,2.318,1.574,2.042,2.318,Dryas,F,PD,0.175,39,21
HL97,5,2022-10-24,11:18:00,0.4708,11.3,0.141,0.323,0.348,0.559,0.383,0.36,0.559,Hecale,M,PF,0.146,39,51
HL86,11,2022-10-24,11:18:00,0.4708,11.3,0.17,1.05,0.958,0.891,0.632,0.727,1.05,Hecale,M,PF,0.228,45,83
DL99,3,2022-10-24,11:18:00,0.4708,11.3,0.15,0.919,0.528,0.767,0.234,0.513,0.919,Dryas,M,PF,0.203,43,34
DL97,3,2022-10-24,11:18:00,0.4708,11.3,0.147,0.312,0.305,0.448,0.815,0.924,0.924,Dryas,F,PF,0.183,40,24
DL100,3,2022-10-26,12:00:00,0.5,12.0,0.176,0.529,1.354,1.052,1.049,1.286,1.354,Dryas,F,PF,0.249,43,34
DL101,3,2022-10-26,12:00:00,0.5,12.0,0.18,0.248,0.964,0.82,0.801,0.825,0.964,Dryas,F,PD,0.25,40,31
HL100,3,2022-10-31,12:30:00,0.5208,12.5,0.097,0.553,0.457,0.269,0.533,0.521,0.553,Hecale,M,PD,0.108,37,29
DL120T,3,2022-10-31,12:30:00,0.5208,12.5,0.091,0.209,0.214,0.104,0.03,0.009,0.214,Dryas,M,PF,0.131,38,21
HL101,3,2022-10-31,12:30:00,0.5208,12.5,0.239,0.981,1.25,1.339,0.858,1.359,1.359,Hecale,M,PF,0.217,44,36
HL79,15,2022-10-31,12:30:00,0.5208,12.5,0.23,1.346,0.818,1.097,1.019,1.72,1.72,Hecale,F,PF,0.224,44,115
DL126T,3,2022-10-31,12:30:00,0.5208,12.5,0.122,0.608,1.095,0.423,0.546,0.611,1.095,Dryas,M,PD,0.166,42,31
DL80,5,2022-10-31,12:30:00,0.5208,12.5,0.141,0.122,0.172,0.085,0.114,0.008,0.172,Dryas,M,PF,0.195,42,34
DL85,5,2022-10-31,12:30:00,0.5208,12.5,0.115,0.336,0.172,0.138,0.2,0.429,0.429,Dryas,M,PD,0.165,40,33
HL99,5,2022-10-31,12:30:00,0.5208,12.5,0.162,0.721,0.513,0.893,0.765,0.669,0.893,Hecale,M,PF,0.131,38,44
DL84,5,2022-10-31,13:00:00,0.5417,13.0,0.118,0.457,0.161,0.131,0.309,0.51,0.51,Dryas,M,PF,0.14,39,42
DL102,3,2022-11-02,12:10:00,0.5069,12.17,0.169,0.703,0.247,0.34,1.043,1.0,1.043,Dryas,M,PF,0.201,44,29
DL91,5,2022-11-02,12:10:00,0.5069,12.17,0.101,0.685,0.483,0.533,0.526,0.357,0.685,Dryas,M,PD,0.134,39,36
DL67T,5,2022-11-02,12:10:00,0.5069,12.17,0.133,0.28,0.467,0.109,0.249,1.023,1.023,Dryas,M,PF,0.189,42,41
DL105,3,2022-11-04,12:54:00,0.5375,12.9,0.116,0.469,0.17,0.393,0.581,0.296,0.581,Dryas,M,PD,0.125,40,25
DL76T,5,2022-11-04,12:54:00,0.5375,12.9,0.12,0.193,0.935,0.09,0.33,0.585,0.935,Dryas,M,PD,0.161,42,34
